flowdepth	dol
0.01	0.030212
0.091904	0.055954
0.186249	0.081696
0.280594	0.107437
0.374939	0.133179
0.453598	0.148911
0.532257	0.164642
0.610916	0.180374
0.689575	0.196106
0.781091	0.215552
0.872607	0.234998
0.964124	0.254443
1.05564	0.273889
1.147156	0.293335
1.230676	0.308215
1.314197	0.323096
1.397717	0.337976
1.481238	0.352856
1.564758	0.367737
1.659656	0.378027
1.754553	0.388318
1.849451	0.398608
1.944348	0.408899
2.039246	0.419189
2.123627	0.430634
2.208008	0.442078
2.292389	0.453522
2.37677	0.464966
2.454936	0.470683
2.533101	0.4764
2.611267	0.482117
2.706523	0.489746
2.801778	0.497375
2.897034	0.505005
2.971395	0.510722
3.045756	0.516439
3.120117	0.522156
3.212781	0.530164
3.305444	0.538171
3.398108	0.546179
3.490771	0.554187
3.583435	0.562195
3.674896	0.566483
3.766357	0.57077
3.857819	0.575058
3.94928	0.579346
4.036041	0.582204
4.122803	0.585063
4.209564	0.587921
4.296326	0.59078
4.383087	0.593638
4.469849	0.596497
4.559906	0.597214
4.649963	0.597931
4.740021	0.598648
4.830078	0.599365
4.920135	0.600082
5.010193	0.6008
5.10025	0.601517
5.190308	0.602234
5.288979	0.602951
5.38765	0.603668
5.48632	0.604385
5.584991	0.605103
5.683662	0.60582
5.782333	0.606537
5.881004	0.607254
5.979675	0.607971
