flowdepth	dol
0.01	0.00293
0.077744	0.005905
0.156281	0.008881
0.234818	0.011856
0.313354	0.014832
0.396622	0.016647
0.479889	0.018463
0.563156	0.020279
0.646423	0.022095
0.745422	0.025391
0.844421	0.028687
0.94342	0.031982
1.042419	0.035278
1.141418	0.038574
1.233002	0.042755
1.324585	0.046936
1.416168	0.051117
1.507751	0.055298
1.595011	0.058451
1.682271	0.061605
1.769531	0.064758
1.859955	0.06839
1.950378	0.072021
2.013428	0.077972
2.076477	0.083923
2.147858	0.097015
2.219238	0.110107
2.300191	0.119629
2.381144	0.12915
2.462097	0.138672
2.545605	0.155786
2.629114	0.1729
2.712622	0.190015
2.79613	0.207129
2.879639	0.224243
2.970673	0.240311
3.061707	0.256378
3.15274	0.272446
3.243774	0.288513
3.330048	0.308126
3.416321	0.327738
3.502594	0.347351
3.588867	0.366964
3.67514	0.386576
3.761414	0.406189
3.838704	0.422852
3.915995	0.439514
3.993286	0.456177
4.065898	0.485942
4.138509	0.515706
4.211121	0.545471
4.284892	0.568054
4.358663	0.590637
4.432434	0.61322
4.501444	0.626343
4.570455	0.639465
4.639465	0.652588
4.732178	0.67041
4.82489	0.675
4.896322	0.680
4.967753	0.681071
5.039185	0.681071
5.118896	0.681071
5.198608	0.681071
5.27832	0.681071
5.367561	0.681442
5.456802	0.681915
5.546043	0.682388
5.635284	0.682861
5.724525	0.683334
5.813766	0.683807
5.903008	0.68428
5.992249	0.684753
